# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3] c_myRDF[4] c_myRDF[5] c_myRDF[6] c_myRDF[7] c_myRDF[8] c_myRDF[9] c_myRDF[10] c_myRDF[11] c_myRDF[12] c_myRDF[13] c_myRDF[14] c_myRDF[15] c_myRDF[16] c_myRDF[17] c_myRDF[18] c_myRDF[19] c_myRDF[20] c_myRDF[21]
1000 20
16 7.75 0.0267986 6.0005 1.61101 25.1249 0.670741 29.531 0 8 0 8 1.31809 8.7611 2.08241 9.34858 0.884991 6.97665 0.942595 24.8389 0.987992 25.0651
17 8.25 0.305192 6.51377 0.983428 30.0892 0.0962705 30.017 4.03536e-05 8.00007 0 8 1.19828 10.7779 1.23526 11.4276 1.23992 9.0636 1.00889 29.9331 1.06655 30.4504
18 8.75 3.24189 12.6471 1.10832 36.3827 0.368541 32.1102 0.0261576 8.04959 0.000481842 8.00091 0.840535 12.3693 0.410254 12.2043 1.44143 11.7926 1.11559 36.2694 1.1528 36.998
19 9.25 2.21959 17.3397 1.09524 43.3326 2.02414 44.958 0.551764 9.21698 0.116942 8.24831 0.668072 13.7827 0.600004 13.4738 1.39758 14.7494 1.01603 42.7183 0.875569 42.5554
20 9.75 0.27615 17.9883 0.991972 50.326 1.66005 56.6643 1.75469 13.3415 1.53625 11.8594 0.886296 15.866 1.03422 15.9048 1.13757 17.4234 0.700102 47.6552 0.668188 47.2673
8000 20
1 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 0.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 1.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 1.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 2.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.300578 0.112832 7.7006e-05 2.89116e-05
6 2.75 0 0 0 0 1.91327 1.07146 0 0 0 0 0 0 0 0 0 0 1.08948 0.722962 0.260061 0.145671
7 3.25 0 0 0 0 5.44187 5.32467 0 0 0 0 0.566741 0.147645 0.0243459 0.00634208 0 0 0.905565 1.43073 1.4074 1.24566
8 3.75 0 0 0.0172081 0.0178897 0.499992 5.84469 0 0 0 0 2.57936 1.04186 1.48028 0.519532 9.26808e-05 3.207e-05 1.72265 3.22237 1.72796 3.0428
